seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,abnormal_task_ids,abnormal_priority_rate,abnormal_avg_response_time,replanning_count,task_sequence
0,FS,20,475.0,891.6666666666669,296.6666666666667,"P11,P15,P16,P10",0.0,417.0833333333334,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
0,NNF,20,196.0,426.66666666666663,278.88888888888886,"P9,P14,P15,P8",50.0,107.50000000000001,0,P3->P12->P18->P11->P8->P14->P7->P17->P9->P20->P2->P13->P10->P4->P15->P1->P19->P16->P5->P6
0,AStarOnly,20,196.0,426.66666666666663,278.88888888888886,"P9,P14,P15,P8",50.0,107.50000000000001,0,P3->P12->P18->P11->P8->P14->P7->P17->P9->P20->P2->P13->P10->P4->P15->P1->P19->P16->P5->P6
0,Proposed-Balanced,20,248.0,513.3333333333334,92.77777777777779,"P11,P15,P16,P10",25.0,202.5,1,P3->P6->P9->P17->P4->P15->P19->P16->P20->P13->P2->P7->P14->P11->P8->P5->P18->P12->P10->P1
1,FS,20,453.0,855.0,352.5,"P13,P17,P15,P16",0.0,519.1666666666667,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
1,NNF,20,152.0,353.33333333333337,130.0,"P11,P17,P13,P14",25.0,157.08333333333331,0,P15->P16->P2->P13->P1->P6->P20->P3->P17->P10->P4->P12->P7->P11->P5->P8->P14->P9->P19->P18
1,AStarOnly,20,152.0,353.33333333333337,130.0,"P11,P17,P13,P14",25.0,157.08333333333331,0,P15->P16->P2->P13->P1->P6->P20->P3->P17->P10->P4->P12->P7->P11->P5->P8->P14->P9->P19->P18
1,Proposed-Balanced,20,308.0,613.3333333333333,178.33333333333331,"P12,P16,P14,P15",50.0,184.58333333333331,1,P1->P6->P20->P17->P12->P14->P9->P4->P7->P11->P16->P13->P15->P2->P5->P19->P18->P8->P10->P3
2,FS,20,434.0,823.3333333333333,454.3333333333333,"P12,P5,P4,P16",50.0,273.33333333333337,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
2,NNF,20,148.0,346.6666666666667,142.83333333333331,"P9,P2,P1,P14",25.0,126.25,0,P16->P20->P13->P5->P7->P3->P1->P2->P12->P10->P15->P8->P14->P18->P17->P4->P9->P6->P19->P11
2,AStarOnly,20,148.0,346.6666666666667,142.83333333333331,"P9,P2,P1,P14",25.0,126.25,0,P16->P20->P13->P5->P7->P3->P1->P2->P12->P10->P15->P8->P14->P18->P17->P4->P9->P6->P19->P11
2,Proposed-Balanced,20,228.0,480.0,186.33333333333331,"P12,P2,P1,P16",75.0,113.33333333333333,1,P5->P7->P3->P1->P2->P10->P12->P15->P14->P18->P4->P17->P6->P20->P11->P13->P16->P9->P19->P8
3,FS,19,327.0,640.0,317.22222222222223,"P9,P16,P8,P12",0.0,247.91666666666666,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P12->P13->P14->P15->P16->P17->P18->P19->P20
3,NNF,19,142.0,331.66666666666674,147.50000000000003,"P7,P16,P6,P11",25.0,205.00000000000006,0,P10->P4->P12->P3->P9->P16->P14->P1->P8->P15->P19->P18->P17->P13->P5->P20->P2->P7->P6
3,AStarOnly,19,130.0,311.6666666666667,179.44444444444446,"P8,P16,P5,P12",50.0,97.91666666666666,0,P10->P6->P7->P1->P14->P16->P8->P9->P3->P12->P19->P18->P17->P13->P4->P15->P2->P20->P5
3,Proposed-Balanced,19,189.0,410.0,125.0,"P6,P15,P5,P11",25.0,193.75,1,P10->P9->P16->P14->P8->P1->P15->P2->P5->P20->P12->P19->P18->P17->P13->P3->P7->P6->P4
4,FS,20,454.0,856.6666666666669,131.66666666666669,"P14,P12,P9,P13",0.0,320.41666666666674,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
4,NNF,20,176.0,393.3333333333333,250.00000000000003,"P13,P11,P6,P12",25.0,151.66666666666666,0,P10->P20->P9->P2->P13->P15->P18->P11->P17->P19->P16->P6->P5->P3->P8->P4->P1->P7->P12->P14
4,AStarOnly,20,180.0,400.00000000000006,216.6666666666667,"P13,P11,P6,P12",25.0,172.08333333333337,0,P20->P10->P9->P2->P13->P15->P18->P19->P16->P6->P5->P3->P8->P12->P7->P1->P4->P11->P17->P14
4,Proposed-Balanced,20,299.0,598.3333333333334,196.66666666666669,"P13,P10,P6,P12",50.0,205.83333333333334,1,P20->P11->P9->P12->P6->P3->P5->P16->P8->P14->P19->P17->P10->P1->P7->P13->P15->P18->P2->P4
5,FS,20,451.0,851.6666666666666,326.94444444444446,"P10,P20,P4,P7",50.0,292.9166666666667,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
5,NNF,20,188.0,413.3333333333334,219.72222222222226,"P7,P20,P1,P4",75.0,68.33333333333334,0,P16->P13->P8->P1->P4->P7->P11->P17->P20->P19->P5->P9->P6->P10->P18->P3->P12->P15->P14->P2
5,AStarOnly,20,207.0,445.0000000000001,194.72222222222226,"P7,P20,P1,P4",75.0,119.58333333333336,0,P16->P13->P8->P1->P4->P7->P11->P17->P5->P9->P6->P10->P18->P3->P12->P15->P14->P2->P19->P20
5,Proposed-Balanced,20,289.0,581.6666666666667,135.00000000000003,"P8,P20,P1,P4",75.0,162.08333333333334,1,P14->P6->P10->P1->P8->P4->P7->P19->P9->P5->P18->P2->P15->P12->P16->P13->P17->P11->P20->P3
6,FS,20,529.0,981.6666666666667,464.0,"P9,P8,P5,P15",25.0,313.33333333333337,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
6,NNF,20,165.0,374.99999999999994,179.66666666666666,"P6,P5,P2,P13",75.0,109.58333333333333,0,P17->P19->P10->P15->P5->P2->P6->P3->P1->P8->P11->P18->P13->P20->P4->P12->P16->P14->P9->P7
6,AStarOnly,20,162.0,369.99999999999994,193.66666666666666,"P6,P5,P2,P13",75.0,118.33333333333333,0,P17->P19->P10->P15->P5->P2->P6->P3->P8->P1->P11->P7->P18->P13->P20->P4->P12->P16->P14->P9
6,Proposed-Balanced,20,233.0,488.33333333333337,177.66666666666669,"P7,P6,P2,P14",25.0,153.75,1,P10->P17->P5->P2->P20->P13->P18->P7->P12->P16->P14->P4->P9->P15->P6->P3->P8->P11->P1->P19
7,FS,20,448.0,846.6666666666667,500.41666666666674,"P8,P15,P13,P16",0.0,438.3333333333334,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
7,NNF,20,182.0,403.3333333333334,138.33333333333337,"P6,P15,P13,P16",25.0,181.25000000000003,0,P12->P5->P10->P4->P15->P3->P8->P17->P18->P1->P6->P20->P19->P11->P14->P16->P2->P13->P7->P9
7,AStarOnly,20,188.0,413.33333333333337,187.91666666666666,"P6,P15,P13,P16",50.0,105.41666666666666,0,P12->P5->P10->P4->P15->P13->P7->P2->P16->P14->P11->P19->P20->P6->P18->P17->P8->P1->P3->P9
7,Proposed-Balanced,20,301.0,601.6666666666667,151.24999999999997,"P5,P14,P11,P15",75.0,102.91666666666669,1,P12->P20->P6->P11->P14->P16->P15->P13->P7->P5->P1->P10->P4->P2->P3->P8->P18->P19->P9->P17
8,FS,20,511.0,951.6666666666669,547.5000000000001,"P4,P9,P15,P8",25.0,270.4166666666667,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
8,NNF,20,183.0,405.0,49.16666666666667,"P1,P8,P14,P7",0.0,215.41666666666669,0,P6->P4->P15->P5->P19->P13->P20->P16->P2->P9->P14->P7->P10->P12->P1->P17->P18->P8->P3->P11
8,AStarOnly,20,174.0,390.00000000000006,49.16666666666667,"P1,P8,P14,P7",0.0,299.58333333333337,0,P6->P4->P15->P5->P19->P3->P13->P20->P9->P16->P2->P11->P8->P18->P17->P1->P10->P12->P7->P14
8,Proposed-Balanced,20,256.0,526.6666666666666,288.3333333333333,"P1,P6,P13,P5",50.0,112.5,1,P18->P17->P8->P6->P5->P19->P11->P13->P20->P9->P16->P10->P12->P1->P7->P14->P3->P4->P15->P2
9,FS,20,369.0,715.0,410.5555555555556,"P14,P11,P15,P12",0.0,386.66666666666663,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
9,NNF,20,166.0,376.66666666666663,205.27777777777774,"P14,P11,P15,P12",50.0,82.91666666666667,0,P4->P10->P9->P15->P1->P12->P2->P13->P19->P14->P11->P3->P20->P8->P6->P5->P16->P17->P18->P7
9,AStarOnly,20,153.0,355.00000000000006,185.55555555555554,"P13,P9,P14,P11",25.0,117.91666666666669,0,P4->P15->P10->P9->P5->P6->P8->P20->P3->P11->P14->P19->P1->P12->P2->P13->P7->P18->P16->P17
9,Proposed-Balanced,20,251.0,518.3333333333335,361.66666666666674,"P13,P10,P14,P11",50.0,92.91666666666669,1,P15->P9->P5->P10->P13->P2->P1->P14->P12->P11->P17->P20->P3->P8->P16->P18->P7->P19->P4->P6
10,FS,19,396.0,754.9999999999999,364.3333333333333,"P13,P4,P11,P7",50.0,206.66666666666666,0,P1->P2->P3->P4->P5->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
10,NNF,19,118.0,291.66666666666674,209.33333333333334,"P12,P1,P8,P4",0.0,146.66666666666669,0,P10->P9->P17->P13->P5->P18->P3->P12->P8->P7->P11->P14->P4->P2->P1->P20->P15->P19->P16
10,AStarOnly,19,121.0,296.66666666666674,220.00000000000006,"P12,P1,P8,P4",0.0,159.16666666666669,0,P10->P9->P17->P5->P13->P3->P18->P12->P8->P7->P11->P4->P14->P16->P19->P15->P20->P1->P2
10,Proposed-Balanced,19,204.0,434.99999999999994,122.6666666666667,"P13,P1,P9,P4",25.0,146.24999999999997,1,P10->P8->P11->P7->P4->P16->P19->P20->P14->P2->P1->P15->P13->P9->P17->P5->P3->P18->P12
11,FS,20,386.0,743.3333333333333,311.66666666666663,"P10,P9,P12,P5",25.0,225.0,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
11,NNF,20,144.0,339.99999999999994,98.0,"P8,P7,P10,P2",25.0,69.58333333333331,0,P14->P3->P20->P13->P5->P2->P18->P8->P10->P7->P15->P4->P1->P6->P9->P16->P19->P11->P17->P12
11,AStarOnly,20,142.0,336.66666666666663,98.0,"P8,P7,P10,P2",25.0,69.58333333333331,0,P14->P3->P20->P13->P5->P2->P18->P8->P10->P7->P15->P4->P1->P9->P6->P16->P19->P11->P17->P12
11,Proposed-Balanced,20,245.0,508.3333333333333,77.0,"P9,P8,P11,P4",75.0,123.33333333333334,1,P3->P13->P2->P20->P8->P4->P9->P6->P7->P10->P15->P19->P11->P18->P5->P17->P12->P16->P1->P14
12,FS,20,472.0,886.6666666666667,543.8888888888889,"P6,P20,P9,P12",25.0,401.6666666666667,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
12,NNF,20,159.0,365.0,167.59259259259258,"P4,P20,P8,P11",0.0,207.91666666666666,0,P7->P19->P3->P1->P18->P17->P12->P15->P6->P10->P20->P4->P11->P13->P9->P5->P2->P14->P16->P8
12,AStarOnly,20,164.0,373.33333333333337,122.40740740740742,"P4,P20,P8,P11",25.0,158.75,0,P7->P19->P3->P16->P14->P8->P18->P17->P12->P15->P6->P10->P20->P4->P11->P13->P9->P5->P2->P1
12,Proposed-Balanced,20,220.0,466.66666666666674,180.55555555555557,"P4,P20,P8,P11",50.0,172.08333333333337,1,P19->P7->P3->P16->P20->P4->P18->P12->P17->P8->P1->P6->P10->P15->P14->P9->P2->P5->P11->P13
13,FS,20,527.0,978.3333333333334,256.33333333333337,"P12,P18,P13,P10",0.0,458.75000000000006,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
13,NNF,20,191.0,418.33333333333337,220.66666666666666,"P11,P18,P12,P7",50.0,165.83333333333334,0,P8->P13->P10->P16->P11->P9->P18->P1->P6->P14->P3->P19->P4->P17->P12->P2->P5->P15->P7->P20
13,AStarOnly,20,191.0,418.33333333333337,223.0,"P11,P18,P12,P7",50.0,165.83333333333334,0,P8->P13->P10->P16->P11->P9->P18->P1->P6->P14->P3->P19->P4->P17->P12->P5->P2->P15->P7->P20
13,Proposed-Balanced,20,253.0,521.6666666666667,205.66666666666669,"P11,P18,P12,P7",75.0,112.91666666666667,1,P8->P13->P10->P11->P12->P4->P7->P6->P18->P14->P3->P9->P2->P5->P17->P19->P1->P15->P16->P20
14,FS,20,449.0,848.3333333333333,669.7222222222222,"P9,P11,P10,P15",0.0,312.9166666666667,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
14,NNF,20,197.0,428.33333333333337,210.55555555555557,"P8,P10,P9,P15",50.0,192.5,0,P2->P11->P3->P7->P18->P9->P10->P14->P12->P19->P17->P6->P13->P1->P16->P15->P4->P5->P20->P8
14,AStarOnly,20,197.0,428.33333333333337,210.55555555555557,"P8,P10,P9,P15",50.0,192.5,0,P2->P11->P3->P7->P18->P9->P10->P14->P12->P19->P17->P6->P13->P1->P16->P15->P4->P5->P20->P8
14,Proposed-Balanced,20,245.0,508.3333333333333,150.27777777777777,"P6,P8,P7,P13",50.0,129.16666666666666,1,P11->P20->P15->P17->P19->P6->P13->P14->P10->P12->P9->P18->P8->P7->P3->P2->P4->P5->P1->P16
15,FS,20,457.0,861.6666666666666,533.3333333333334,"P15,P19,P17,P4",25.0,442.9166666666667,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
15,NNF,20,183.0,405.0,200.41666666666666,"P14,P19,P17,P1",0.0,212.91666666666669,0,P16->P7->P11->P2->P6->P20->P4->P12->P19->P17->P8->P3->P15->P5->P13->P10->P18->P9->P1->P14
15,AStarOnly,20,183.0,405.0,200.41666666666666,"P14,P19,P17,P1",0.0,212.91666666666669,0,P16->P7->P11->P2->P6->P20->P4->P12->P19->P17->P8->P3->P15->P5->P13->P10->P18->P9->P1->P14
15,Proposed-Balanced,20,264.0,540.0,130.83333333333334,"P14,P18,P16,P1",50.0,137.91666666666669,1,P20->P6->P4->P18->P13->P10->P16->P14->P1->P8->P19->P3->P17->P12->P7->P2->P11->P15->P5->P9
16,FS,20,381.0,735.0,121.66666666666669,"P8,P12,P9,P15",0.0,338.3333333333333,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
16,NNF,20,179.0,398.33333333333337,110.00000000000001,"P5,P11,P7,P15",25.0,127.08333333333337,0,P6->P13->P10->P11->P4->P19->P14->P12->P5->P2->P1->P18->P7->P16->P15->P17->P8->P9->P20->P3
16,AStarOnly,20,195.0,425.0,425.0,"P5,P11,P7,P15",25.0,115.83333333333333,0,P6->P13->P10->P11->P19->P14->P12->P5->P2->P1->P18->P7->P16->P15->P17->P8->P20->P3->P9->P4
16,Proposed-Balanced,20,265.0,541.6666666666666,113.33333333333334,"P5,P9,P6,P13",25.0,211.66666666666669,1,P16->P18->P12->P19->P4->P5->P14->P1->P11->P9->P20->P3->P2->P15->P6->P13->P10->P7->P8->P17
17,FS,20,369.0,715.0,648.3333333333334,"P15,P11,P5,P10",25.0,225.83333333333337,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
17,NNF,20,147.0,345.0,275.0,"P15,P11,P2,P8",50.0,117.08333333333331,0,P9->P10->P5->P8->P4->P11->P6->P3->P14->P19->P1->P15->P17->P13->P7->P18->P12->P2->P16->P20
17,AStarOnly,20,161.0,368.3333333333333,368.3333333333333,"P15,P11,P2,P8",0.0,140.0,0,P9->P10->P6->P3->P14->P19->P1->P15->P17->P13->P7->P4->P8->P11->P5->P2->P16->P20->P12->P18
17,Proposed-Balanced,20,223.0,471.66666666666674,266.6666666666667,"P15,P11,P2,P8",50.0,174.16666666666669,1,P10->P9->P5->P11->P2->P20->P12->P16->P18->P1->P15->P14->P3->P6->P17->P7->P13->P4->P8->P19
18,FS,20,517.0,961.6666666666667,416.11111111111114,"P7,P10,P8,P12",25.0,285.4166666666667,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
18,NNF,20,184.0,406.6666666666667,272.77777777777777,"P4,P7,P5,P10",0.0,191.25,0,P18->P9->P12->P6->P8->P14->P11->P10->P16->P5->P19->P15->P3->P1->P13->P17->P4->P20->P7->P2
18,AStarOnly,20,184.0,406.66666666666663,267.77777777777777,"P4,P7,P5,P10",0.0,187.5,0,P9->P18->P12->P6->P8->P14->P11->P10->P16->P5->P19->P15->P3->P1->P13->P4->P17->P20->P7->P2
18,Proposed-Balanced,20,252.0,520.0000000000001,223.8888888888889,"P4,P8,P5,P11",25.0,186.66666666666669,1,P18->P9->P7->P5->P19->P15->P3->P1->P16->P10->P14->P11->P8->P12->P6->P20->P4->P17->P13->P2
19,FS,20,328.0,646.6666666666666,412.6666666666667,"P10,P4,P11,P15",25.0,224.58333333333337,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
19,NNF,20,164.0,373.33333333333337,190.66666666666669,"P7,P1,P8,P12",0.0,222.91666666666669,0,P15->P17->P14->P2->P3->P5->P16->P11->P13->P18->P4->P1->P10->P20->P12->P8->P9->P19->P6->P7
19,AStarOnly,20,155.0,358.33333333333337,286.6666666666667,"P7,P1,P8,P12",0.0,192.08333333333334,0,P15->P17->P14->P3->P5->P2->P6->P7->P19->P9->P8->P12->P20->P10->P16->P11->P13->P18->P4->P1
19,Proposed-Balanced,20,223.0,471.6666666666667,81.0,"P8,P1,P9,P13",50.0,141.25,1,P4->P16->P18->P10->P20->P8->P9->P12->P13->P11->P2->P3->P17->P15->P14->P5->P1->P6->P7->P19
20,FS,20,400.0,766.6666666666666,521.0,"P18,P13,P20,P19",0.0,547.5,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
20,NNF,20,149.0,348.3333333333333,125.33333333333334,"P16,P10,P20,P18",50.0,132.91666666666669,0,P17->P19->P15->P4->P16->P10->P7->P9->P14->P6->P1->P20->P2->P11->P3->P5->P13->P8->P12->P18
20,AStarOnly,20,157.0,361.6666666666667,138.33333333333331,"P16,P10,P20,P18",50.0,134.58333333333334,0,P19->P17->P15->P4->P16->P10->P7->P9->P6->P14->P1->P20->P2->P11->P3->P5->P13->P8->P12->P18
20,Proposed-Balanced,20,230.0,483.3333333333333,179.0,"P16,P10,P20,P18",50.0,145.41666666666666,1,P19->P17->P15->P18->P20->P2->P1->P7->P9->P4->P10->P6->P16->P13->P8->P12->P3->P11->P5->P14
21,FS,20,371.0,718.3333333333334,396.9444444444445,"P20,P14,P17,P18",0.0,501.66666666666674,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
21,NNF,20,142.0,336.66666666666674,181.94444444444446,"P20,P11,P15,P17",25.0,135.83333333333337,0,P16->P12->P18->P10->P8->P15->P2->P1->P9->P19->P11->P7->P20->P4->P6->P17->P13->P3->P5->P14
21,AStarOnly,20,168.0,380.0,176.94444444444443,"P20,P11,P15,P17",25.0,152.08333333333334,0,P16->P12->P18->P15->P10->P8->P2->P1->P9->P19->P11->P7->P5->P3->P13->P17->P6->P20->P4->P14
21,Proposed-Balanced,20,252.0,520.0000000000001,157.22222222222226,"P20,P13,P17,P18",50.0,145.00000000000006,1,P8->P15->P10->P18->P12->P11->P20->P7->P5->P13->P3->P14->P17->P4->P2->P1->P9->P19->P16->P6
22,FS,20,453.0,855.0,441.6666666666667,"P10,P15,P4,P14",25.0,355.0,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
22,NNF,20,172.0,386.6666666666667,263.3333333333333,"P7,P13,P1,P11",50.0,121.24999999999999,0,P14->P20->P12->P11->P18->P4->P13->P16->P19->P15->P1->P5->P10->P17->P8->P3->P7->P6->P2->P9
22,AStarOnly,20,220.0,466.6666666666667,276.6666666666667,"P7,P13,P1,P11",25.0,185.41666666666669,0,P14->P20->P12->P6->P2->P7->P3->P18->P11->P15->P19->P13->P16->P4->P8->P9->P17->P1->P5->P10
22,Proposed-Balanced,20,257.0,528.3333333333333,205.00000000000003,"P9,P15,P1,P13",50.0,137.08333333333331,1,P14->P2->P6->P7->P13->P16->P15->P1->P10->P5->P19->P17->P18->P3->P9->P11->P12->P20->P4->P8
23,FS,20,423.0,805.0000000000001,544.5833333333334,"P19,P15,P17,P12",0.0,487.9166666666668,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
23,NNF,20,155.0,358.3333333333333,208.12499999999997,"P19,P14,P17,P11",75.0,90.41666666666669,0,P7->P15->P2->P3->P17->P19->P11->P6->P18->P12->P13->P9->P5->P10->P14->P1->P8->P4->P20->P16
23,AStarOnly,20,151.0,351.6666666666667,212.5,"P19,P14,P17,P11",50.0,151.25,0,P7->P15->P2->P3->P17->P11->P6->P18->P12->P13->P9->P5->P10->P4->P20->P16->P14->P1->P19->P8
23,Proposed-Balanced,20,311.0,618.3333333333333,245.41666666666669,"P19,P15,P17,P10",50.0,132.08333333333331,1,P13->P1->P12->P19->P15->P11->P6->P18->P14->P5->P10->P4->P9->P17->P8->P2->P7->P3->P20->P16
24,FS,20,391.0,751.6666666666666,380.0,"P19,P16,P10,P5",25.0,340.8333333333333,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
24,NNF,20,145.0,341.66666666666663,157.57575757575756,"P19,P16,P8,P2",25.0,110.83333333333333,0,P12->P6->P14->P16->P10->P9->P3->P11->P17->P15->P20->P2->P8->P19->P7->P4->P13->P1->P18->P5
24,AStarOnly,20,154.0,356.66666666666674,164.54545454545453,"P19,P16,P8,P2",25.0,135.83333333333337,0,P6->P12->P14->P16->P10->P9->P3->P11->P17->P15->P20->P2->P4->P7->P19->P5->P18->P8->P13->P1
24,Proposed-Balanced,20,190.0,416.66666666666674,185.3030303030303,"P19,P16,P8,P2",100.0,56.25,1,P6->P12->P14->P16->P2->P19->P8->P11->P17->P9->P10->P4->P15->P20->P3->P7->P18->P5->P13->P1
25,FS,20,406.0,776.6666666666667,442.7083333333334,"P15,P6,P11,P7",50.0,211.66666666666666,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
25,NNF,20,182.0,403.33333333333326,172.29166666666666,"P13,P4,P9,P5",75.0,59.16666666666667,0,P18->P2->P14->P4->P6->P9->P5->P11->P15->P19->P10->P13->P12->P7->P8->P20->P17->P1->P16->P3
25,AStarOnly,20,184.0,406.6666666666666,148.74999999999997,"P13,P4,P9,P5",50.0,115.41666666666664,0,P2->P18->P15->P11->P19->P5->P9->P14->P4->P6->P1->P16->P3->P20->P17->P12->P10->P13->P7->P8
25,Proposed-Balanced,20,222.0,470.0,165.62499999999997,"P13,P4,P9,P5",75.0,80.83333333333333,1,P2->P18->P16->P4->P9->P5->P15->P19->P11->P10->P12->P7->P8->P13->P6->P1->P3->P14->P20->P17
26,FS,20,383.0,738.3333333333333,458.88888888888886,"P9,P14,P16,P10",0.0,356.66666666666663,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
26,NNF,20,133.0,321.6666666666667,121.11111111111113,"P8,P13,P16,P9",0.0,151.25,0,P1->P15->P7->P19->P12->P4->P2->P10->P16->P11->P20->P13->P8->P17->P5->P9->P18->P6->P3->P14
26,AStarOnly,20,147.0,345.0,126.66666666666667,"P8,P13,P16,P9",25.0,114.58333333333334,0,P1->P15->P7->P19->P12->P4->P9->P8->P17->P5->P13->P2->P10->P16->P11->P20->P18->P6->P3->P14
26,Proposed-Balanced,20,205.0,441.6666666666667,102.77777777777779,"P7,P12,P14,P8",50.0,180.0,1,P1->P15->P19->P12->P4->P9->P8->P17->P2->P20->P16->P13->P5->P10->P11->P7->P14->P6->P18->P3
27,FS,20,453.0,855.0,465.6666666666667,"P8,P14,P20,P4",25.0,379.1666666666667,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
27,NNF,20,165.0,374.99999999999994,231.6666666666666,"P6,P13,P20,P1",75.0,87.08333333333334,0,P16->P7->P2->P6->P3->P13->P1->P14->P15->P19->P8->P17->P11->P20->P18->P12->P10->P5->P9->P4
27,AStarOnly,20,163.0,371.6666666666667,241.66666666666669,"P5,P12,P20,P1",25.0,163.75000000000003,0,P7->P16->P13->P3->P1->P6->P2->P10->P18->P12->P11->P20->P17->P8->P19->P14->P15->P5->P9->P4
27,Proposed-Balanced,20,236.0,493.3333333333333,208.0,"P8,P14,P20,P4",50.0,103.74999999999999,1,P2->P3->P1->P14->P19->P8->P17->P20->P18->P5->P4->P9->P15->P12->P11->P10->P6->P7->P16->P13
28,FS,20,457.0,861.6666666666667,446.1111111111112,"P6,P15,P7,P5",75.0,232.91666666666669,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
28,NNF,20,185.0,408.33333333333337,137.77777777777777,"P3,P15,P4,P2",0.0,167.08333333333331,0,P13->P6->P11->P18->P14->P5->P8->P10->P3->P1->P9->P20->P2->P16->P15->P4->P7->P19->P12->P17
28,AStarOnly,20,189.0,415.0,139.25925925925924,"P3,P15,P4,P2",0.0,167.08333333333331,0,P13->P6->P11->P18->P14->P5->P8->P10->P3->P1->P2->P20->P9->P16->P15->P4->P7->P19->P12->P17
28,Proposed-Balanced,20,223.0,471.6666666666668,161.4814814814815,"P3,P14,P4,P2",75.0,91.25,1,P13->P18->P6->P11->P14->P3->P2->P9->P20->P16->P4->P15->P1->P8->P10->P5->P19->P12->P7->P17
29,FS,20,394.0,756.6666666666669,456.11111111111114,"P9,P19,P11,P8",0.0,288.33333333333337,0,P1->P2->P3->P4->P5->P6->P7->P8->P9->P10->P11->P12->P13->P14->P15->P16->P17->P18->P19->P20
29,NNF,20,137.0,328.3333333333333,165.55555555555557,"P7,P19,P9,P6",75.0,84.16666666666667,0,P13->P2->P11->P19->P6->P7->P3->P18->P4->P17->P12->P14->P16->P5->P10->P15->P9->P20->P8->P1
29,AStarOnly,20,158.0,363.3333333333333,205.55555555555554,"P7,P19,P9,P6",0.0,134.16666666666663,0,P13->P5->P16->P14->P12->P17->P4->P3->P18->P19->P6->P7->P11->P2->P9->P20->P8->P1->P10->P15
29,Proposed-Balanced,20,208.0,446.66666666666663,192.7777777777778,"P6,P19,P8,P5",75.0,90.41666666666669,1,P13->P10->P12->P5->P8->P20->P19->P7->P6->P11->P2->P17->P4->P3->P18->P1->P9->P14->P16->P15
