seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,algorithm_runtime_ms,lambda_mean,lambda_min,lambda_max,lambda_std,task_sequence
0,AStarOnly,20,196.0,426.66666666666663,278.88888888888886,208.53083125537935,0.0,37.680969981011,0.0,0.0,0.0,0.0,P3->P12->P18->P11->P8->P14->P7->P17->P9->P20->P2->P13->P10->P4->P15->P1->P19->P16->P5->P6
0,TSP-2opt,20,176.0,393.33333333333337,245.55555555555557,190.14662043063052,0.0,61.715507006738335,0.0,0.0,0.0,0.0,P3->P12->P15->P1->P19->P16->P10->P4->P9->P20->P2->P13->P17->P7->P14->P8->P11->P5->P18->P6
0,Greedy-PADS,20,266.0,543.3333333333333,92.77777777777779,238.78823309827155,60.0,35.89388797990978,0.0,0.0,0.0,0.0,P3->P6->P9->P17->P4->P7->P14->P5->P11->P8->P18->P15->P19->P16->P1->P10->P20->P13->P2->P12
0,Priority-Greedy,20,323.0,638.3333333333333,122.77777777777779,255.36185478202,40.0,34.50489498209208,0.0,0.0,0.0,0.0,P4->P9->P7->P17->P20->P13->P6->P15->P1->P3->P12->P5->P14->P8->P11->P19->P16->P2->P10->P18
0,RH-PADS,20,222.0,470.0,139.44444444444446,215.91721508557615,40.0,701.601920009125,0.0,0.0,0.0,0.0,P15->P4->P17->P9->P20->P2->P13->P7->P14->P8->P11->P6->P3->P12->P10->P5->P18->P1->P19->P16
0,RH-PADS-L,20,237.0,495.0000000000001,156.6666666666667,215.56360143027942,40.0,312.44519498432055,0.0,0.0,0.0,0.0,P4->P9->P17->P7->P13->P20->P2->P19->P16->P1->P15->P12->P3->P6->P11->P5->P18->P8->P14->P10
0,A-RH-PADS,20,225.0,475.00000000000006,139.44444444444446,217.9700730113976,40.0,77.11362896952778,0.5720547421743485,0.5267852913502942,0.6146994622264275,0.02862543648202937,P15->P4->P17->P9->P20->P2->P13->P7->P14->P8->P11->P6->P3->P12->P10->P19->P16->P1->P18->P5
0,A-RH-PADS-L,20,257.0,528.3333333333334,132.7777777777778,231.0982663266056,40.0,63.3655019919388,0.5765381645417674,0.522983960933197,0.6146994622264275,0.02481986307230563,P15->P4->P9->P17->P20->P2->P13->P7->P8->P11->P6->P18->P12->P1->P10->P19->P16->P3->P5->P14
1,AStarOnly,20,152.0,353.33333333333337,130.0,171.28220643360677,40.0,35.33835295820609,0.0,0.0,0.0,0.0,P15->P16->P2->P13->P1->P6->P20->P3->P17->P10->P4->P12->P7->P11->P5->P8->P14->P9->P19->P18
1,TSP-2opt,20,148.0,346.6666666666667,128.33333333333334,169.7953908227992,40.0,39.425082970410585,0.0,0.0,0.0,0.0,P15->P16->P2->P13->P1->P6->P3->P20->P17->P10->P4->P12->P7->P11->P5->P8->P9->P14->P19->P18
1,Greedy-PADS,20,250.0,516.6666666666667,172.5,240.42963959419117,60.0,35.456820973195136,0.0,0.0,0.0,0.0,P1->P6->P20->P17->P4->P7->P11->P14->P9->P8->P18->P19->P12->P10->P5->P2->P13->P16->P15->P3
1,Priority-Greedy,20,297.0,595.0,126.66666666666667,256.6937868949896,60.0,36.081544996704906,0.0,0.0,0.0,0.0,P1->P17->P4->P7->P11->P14->P19->P12->P13->P16->P6->P20->P3->P2->P15->P5->P18->P9->P8->P10
1,RH-PADS,20,237.0,495.0,146.66666666666669,191.6880993048337,40.0,681.4578140038066,0.0,0.0,0.0,0.0,P16->P1->P6->P20->P17->P4->P12->P7->P11->P5->P9->P14->P18->P19->P2->P13->P3->P15->P8->P10
1,RH-PADS-L,20,257.0,528.3333333333334,147.91666666666669,193.9810290594294,40.0,330.42139100143686,0.0,0.0,0.0,0.0,P16->P1->P6->P20->P17->P4->P7->P11->P5->P19->P18->P14->P9->P12->P13->P2->P15->P3->P10->P8
1,A-RH-PADS,20,209.0,448.33333333333326,155.83333333333331,190.46987041880286,40.0,77.49929197598249,0.5728763075940336,0.46718907262953424,0.6285605660952109,0.04145030920776468,P16->P1->P6->P20->P17->P4->P12->P7->P11->P5->P19->P18->P14->P9->P8->P15->P2->P13->P3->P10
1,A-RH-PADS-L,20,209.0,448.33333333333326,155.83333333333331,190.46987041880286,40.0,64.49021899607033,0.5728763075940336,0.46718907262953424,0.6285605660952109,0.04145030920776468,P16->P1->P6->P20->P17->P4->P12->P7->P11->P5->P19->P18->P14->P9->P8->P15->P2->P13->P3->P10
2,AStarOnly,20,148.0,346.6666666666667,142.83333333333331,149.18086604443027,80.0,31.66154498467222,0.0,0.0,0.0,0.0,P16->P20->P13->P5->P7->P3->P1->P2->P12->P10->P15->P8->P14->P18->P17->P4->P9->P6->P19->P11
2,TSP-2opt,20,144.0,340.00000000000006,194.50000000000003,187.17468738297558,20.0,50.01585197169334,0.0,0.0,0.0,0.0,P16->P20->P19->P6->P9->P4->P17->P18->P14->P8->P15->P10->P12->P2->P1->P3->P7->P5->P13->P11
2,Greedy-PADS,20,250.0,516.6666666666667,194.83333333333337,209.88199062428066,60.0,31.94565000012517,0.0,0.0,0.0,0.0,P5->P7->P3->P1->P15->P14->P10->P2->P11->P20->P4->P17->P6->P18->P9->P13->P16->P19->P8->P12
2,Priority-Greedy,20,308.0,613.3333333333333,154.50000000000003,216.42850328545615,100.0,31.911460042465478,0.0,0.0,0.0,0.0,P5->P20->P7->P11->P15->P14->P4->P18->P6->P13->P1->P2->P10->P8->P17->P3->P9->P19->P16->P12
2,RH-PADS,20,176.0,393.3333333333333,120.83333333333333,150.10729390153588,100.0,569.1516190418042,0.0,0.0,0.0,0.0,P20->P13->P5->P7->P11->P1->P2->P10->P15->P8->P14->P18->P17->P4->P6->P19->P9->P16->P3->P12
2,RH-PADS-L,20,195.0,424.9999999999999,142.8333333333333,157.79577744235772,80.0,301.9012180157006,0.0,0.0,0.0,0.0,P20->P13->P5->P7->P3->P1->P15->P8->P14->P17->P4->P18->P6->P9->P2->P10->P12->P11->P16->P19
2,A-RH-PADS,20,185.0,408.3333333333333,144.83333333333331,156.48052644376372,80.0,69.60308697307482,0.601668978102943,0.5238489364664343,0.6327055031170095,0.029160920667528373,P20->P13->P5->P7->P3->P1->P15->P8->P14->P17->P4->P9->P6->P18->P10->P12->P2->P11->P16->P19
2,A-RH-PADS-L,20,185.0,408.3333333333333,144.83333333333331,156.48052644376372,80.0,53.35159902460873,0.601668978102943,0.5238489364664343,0.6327055031170095,0.029160920667528373,P20->P13->P5->P7->P3->P1->P15->P8->P14->P17->P4->P9->P6->P18->P10->P12->P2->P11->P16->P19
3,AStarOnly,19,130.0,311.6666666666667,179.44444444444446,167.67391146664556,20.0,45.271857001353055,0.0,0.0,0.0,0.0,P10->P6->P7->P1->P14->P16->P8->P9->P3->P12->P19->P18->P17->P13->P4->P15->P2->P20->P5
3,TSP-2opt,19,124.0,301.66666666666663,211.38888888888889,189.92426340093462,0.0,59.48463099775836,0.0,0.0,0.0,0.0,P10->P4->P12->P19->P18->P17->P13->P5->P20->P2->P15->P8->P3->P9->P16->P14->P1->P7->P6
3,Greedy-PADS,19,194.0,418.3333333333333,150.0,175.20246310764043,40.0,45.93886499060318,0.0,0.0,0.0,0.0,P10->P9->P16->P14->P8->P1->P15->P2->P12->P19->P18->P5->P20->P3->P7->P6->P4->P17->P13
3,Priority-Greedy,19,265.0,536.6666666666667,98.05555555555554,186.17475571000014,100.0,46.649965981487185,0.0,0.0,0.0,0.0,P9->P1->P16->P15->P2->P12->P13->P17->P5->P7->P14->P8->P3->P19->P18->P20->P6->P10->P4
3,RH-PADS,19,180.0,395.0,113.33333333333333,159.68876530980125,80.0,956.7848120350391,0.0,0.0,0.0,0.0,P9->P16->P1->P14->P15->P12->P3->P8->P2->P20->P5->P17->P13->P18->P19->P4->P10->P6->P7
3,RH-PADS-L,19,180.0,395.00000000000006,115.00000000000001,158.90004125083874,80.0,447.93090398889035,0.0,0.0,0.0,0.0,P9->P16->P1->P14->P15->P8->P3->P12->P18->P17->P13->P5->P2->P20->P19->P4->P10->P6->P7
3,A-RH-PADS,19,185.0,403.3333333333333,114.16666666666667,150.4977597353086,80.0,87.8910809988156,0.5581020114550909,0.5044619611767036,0.6214434241576577,0.03224810532386041,P9->P16->P1->P14->P15->P8->P3->P12->P19->P18->P17->P13->P2->P20->P5->P7->P6->P10->P4
3,A-RH-PADS-L,19,178.0,391.66666666666663,140.0,162.69477479760266,60.0,67.46605603257194,0.5656104195285184,0.5129705953637662,0.6214434241576577,0.028209241499956975,P9->P16->P1->P14->P8->P3->P12->P19->P18->P2->P20->P5->P15->P4->P17->P13->P10->P6->P7
4,AStarOnly,20,180.0,400.00000000000006,216.6666666666667,199.48933476951882,0.0,32.9474059981294,0.0,0.0,0.0,0.0,P20->P10->P9->P2->P13->P15->P18->P19->P16->P6->P5->P3->P8->P12->P7->P1->P4->P11->P17->P14
4,TSP-2opt,20,174.0,390.0,246.6666666666667,183.89619833538688,0.0,36.511155019979924,0.0,0.0,0.0,0.0,P20->P10->P9->P2->P13->P15->P18->P11->P17->P19->P16->P6->P5->P3->P8->P4->P1->P7->P12->P14
4,Greedy-PADS,20,253.0,521.6666666666667,261.6666666666667,244.4333538962034,0.0,35.228152002673596,0.0,0.0,0.0,0.0,P20->P11->P9->P17->P1->P12->P7->P5->P3->P6->P16->P8->P14->P19->P18->P15->P13->P2->P10->P4
4,Priority-Greedy,20,342.0,670.0,106.66666666666669,250.0684481998298,20.0,34.284761000890285,0.0,0.0,0.0,0.0,P20->P11->P17->P3->P12->P9->P1->P7->P5->P16->P19->P6->P8->P15->P18->P13->P10->P4->P2->P14
4,RH-PADS,20,206.0,443.33333333333337,123.33333333333331,203.07928145320986,0.0,726.4834410161711,0.0,0.0,0.0,0.0,P20->P10->P9->P11->P17->P3->P16->P6->P5->P8->P12->P7->P1->P4->P15->P13->P2->P18->P19->P14
4,RH-PADS-L,20,254.0,523.3333333333334,85.0,217.27605374932597,20.0,329.95014399057254,0.0,0.0,0.0,0.0,P20->P9->P3->P5->P6->P16->P19->P11->P17->P1->P7->P12->P8->P15->P13->P2->P10->P4->P14->P18
4,A-RH-PADS,20,205.0,441.6666666666667,155.0,199.89071099165656,0.0,71.83610199717805,0.5503973639565364,0.4843480745912913,0.6018221319239462,0.038287173726841,P20->P10->P9->P11->P17->P16->P6->P5->P3->P8->P12->P7->P1->P2->P13->P15->P18->P19->P14->P4
4,A-RH-PADS-L,20,200.0,433.33333333333337,118.33333333333334,205.2339954985239,20.0,59.00926800677553,0.5514880067388348,0.49792235553151987,0.6018221319239462,0.030635530099918477,P20->P9->P11->P17->P3->P5->P6->P16->P8->P12->P7->P4->P1->P10->P2->P13->P15->P18->P19->P14
5,AStarOnly,20,207.0,445.0000000000001,194.72222222222226,210.95418778831691,40.0,34.408917010296136,0.0,0.0,0.0,0.0,P16->P13->P8->P1->P4->P7->P11->P17->P5->P9->P6->P10->P18->P3->P12->P15->P14->P2->P19->P20
5,TSP-2opt,20,174.0,390.0000000000001,241.3888888888889,224.84998945682776,20.0,39.061195973772556,0.0,0.0,0.0,0.0,P16->P13->P17->P11->P7->P8->P4->P1->P20->P19->P5->P9->P6->P10->P18->P3->P12->P15->P14->P2
5,Greedy-PADS,20,295.0,591.6666666666666,150.55555555555557,233.55827993108772,60.0,35.215479030739516,0.0,0.0,0.0,0.0,P14->P6->P10->P9->P5->P19->P18->P1->P8->P7->P4->P17->P11->P16->P15->P2->P12->P3->P20->P13
5,Priority-Greedy,20,353.0,688.3333333333334,149.16666666666666,252.92760936114203,60.0,34.56510399701074,0.0,0.0,0.0,0.0,P14->P6->P7->P4->P19->P9->P1->P8->P17->P16->P18->P10->P12->P15->P5->P11->P13->P2->P3->P20
5,RH-PADS,20,261.0,535.0,118.61111111111113,202.63012351350665,60.0,750.0900189625099,0.0,0.0,0.0,0.0,P14->P9->P6->P10->P19->P1->P4->P7->P8->P5->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
5,RH-PADS-L,20,261.0,535.0,118.61111111111113,202.63012351350665,60.0,350.7001980324276,0.0,0.0,0.0,0.0,P14->P9->P6->P10->P19->P1->P4->P7->P8->P5->P18->P12->P15->P2->P16->P13->P17->P11->P20->P3
5,A-RH-PADS,20,227.0,478.3333333333333,111.11111111111113,193.39347799876836,80.0,75.49849397037178,0.5702550613475772,0.44078235512536323,0.6416997900163667,0.05071854740162006,P14->P9->P6->P19->P1->P4->P7->P8->P5->P10->P18->P3->P12->P15->P2->P16->P13->P17->P11->P20
5,A-RH-PADS-L,20,233.0,488.3333333333333,118.61111111111113,198.3997806778903,60.0,64.13342599989846,0.57355462768704,0.44078235512536323,0.6416997900163667,0.05193491766534963,P14->P9->P6->P10->P19->P1->P4->P7->P8->P5->P18->P3->P12->P15->P2->P16->P13->P17->P11->P20
6,AStarOnly,20,162.0,369.99999999999994,193.66666666666666,214.07655380590572,40.0,36.857495026197284,0.0,0.0,0.0,0.0,P17->P19->P10->P15->P5->P2->P6->P3->P8->P1->P11->P7->P18->P13->P20->P4->P12->P16->P14->P9
6,TSP-2opt,20,147.0,345.0,156.33333333333334,173.46460796256747,40.0,41.05475702090189,0.0,0.0,0.0,0.0,P10->P17->P19->P15->P5->P2->P6->P3->P11->P8->P1->P18->P13->P20->P4->P12->P16->P14->P9->P7
6,Greedy-PADS,20,224.0,473.3333333333334,159.66666666666669,165.8863466259528,40.0,35.10420199017972,0.0,0.0,0.0,0.0,P10->P17->P5->P2->P20->P13->P18->P12->P4->P16->P14->P9->P7->P8->P3->P6->P11->P15->P19->P1
6,Priority-Greedy,20,294.0,590.0000000000001,165.33333333333334,211.86538681033258,60.0,36.470983002800494,0.0,0.0,0.0,0.0,P5->P10->P18->P20->P12->P16->P13->P17->P2->P3->P8->P11->P15->P19->P4->P9->P14->P7->P1->P6
6,RH-PADS,20,219.0,465.0,157.33333333333334,167.78076812113304,40.0,724.7473660390824,0.0,0.0,0.0,0.0,P10->P17->P5->P2->P15->P13->P20->P18->P12->P16->P14->P9->P8->P11->P3->P6->P1->P7->P4->P19
6,RH-PADS-L,20,201.0,435.00000000000006,132.66666666666669,160.39763771204616,40.0,329.56074201501906,0.0,0.0,0.0,0.0,P10->P17->P5->P2->P15->P20->P13->P12->P16->P14->P9->P18->P3->P6->P11->P8->P1->P7->P4->P19
6,A-RH-PADS,20,213.0,454.99999999999994,179.66666666666669,163.01465298090423,20.0,78.6072050104849,0.5639214953152067,0.4848336498254914,0.6209073421684561,0.04517335355382989,P10->P17->P20->P13->P18->P15->P5->P2->P6->P3->P8->P4->P12->P16->P14->P9->P7->P1->P11->P19
6,A-RH-PADS-L,20,231.0,485.0000000000001,172.66666666666669,167.20972428922443,20.0,65.53132500266656,0.5566966881092438,0.47967005512125954,0.629201063278241,0.05029695082441028,P10->P17->P20->P13->P15->P5->P2->P18->P12->P16->P14->P9->P4->P8->P1->P3->P6->P11->P19->P7
7,AStarOnly,20,188.0,413.33333333333337,187.91666666666666,178.74193177674218,20.0,30.565207009203732,0.0,0.0,0.0,0.0,P12->P5->P10->P4->P15->P13->P7->P2->P16->P14->P11->P19->P20->P6->P18->P17->P8->P1->P3->P9
7,TSP-2opt,20,168.0,380.0,193.33333333333331,182.4211447639572,20.0,45.83154199644923,0.0,0.0,0.0,0.0,P3->P15->P13->P7->P2->P16->P4->P10->P5->P12->P1->P18->P17->P8->P6->P20->P19->P11->P14->P9
7,Greedy-PADS,20,274.0,556.6666666666666,197.0833333333333,233.44577300440085,40.0,31.498195021413267,0.0,0.0,0.0,0.0,P12->P20->P6->P18->P15->P13->P7->P4->P16->P11->P14->P2->P10->P1->P5->P8->P3->P17->P19->P9
7,Priority-Greedy,20,286.0,576.6666666666666,87.08333333333334,218.96582668651658,60.0,38.4544400149025,0.0,0.0,0.0,0.0,P12->P20->P11->P13->P15->P3->P6->P4->P16->P14->P9->P5->P10->P1->P18->P17->P8->P2->P7->P19
7,RH-PADS,20,212.0,453.3333333333333,84.58333333333334,167.913434817087,40.0,673.2003910001367,0.0,0.0,0.0,0.0,P12->P3->P15->P13->P16->P11->P20->P6->P4->P10->P5->P1->P18->P17->P8->P7->P2->P14->P9->P19
7,RH-PADS-L,20,200.0,433.3333333333333,94.58333333333334,175.24206014673868,40.0,302.3491289932281,0.0,0.0,0.0,0.0,P12->P3->P15->P13->P2->P16->P14->P11->P20->P6->P5->P10->P1->P18->P17->P8->P4->P7->P19->P9
7,A-RH-PADS,20,226.0,476.66666666666674,104.58333333333334,168.10370860401045,40.0,68.07847297750413,0.5784514940996871,0.5077596300678212,0.6543069969485884,0.05357746212952729,P12->P3->P15->P13->P4->P10->P5->P6->P20->P11->P14->P16->P8->P18->P17->P1->P7->P2->P19->P9
7,A-RH-PADS-L,20,184.0,406.66666666666663,123.75,160.79635913335517,40.0,51.45021097268909,0.5976451561647803,0.5240071287342289,0.6543069969485884,0.04232948362552854,P12->P3->P15->P4->P10->P5->P6->P18->P17->P1->P8->P20->P11->P14->P16->P2->P7->P13->P19->P9
8,AStarOnly,20,174.0,390.00000000000006,49.16666666666667,201.82130492764543,40.0,33.18246599519625,0.0,0.0,0.0,0.0,P6->P4->P15->P5->P19->P3->P13->P20->P9->P16->P2->P11->P8->P18->P17->P1->P10->P12->P7->P14
8,TSP-2opt,20,163.0,371.66666666666663,184.16666666666666,189.0286820610904,20.0,50.5392579943873,0.0,0.0,0.0,0.0,P6->P4->P15->P5->P8->P18->P17->P1->P12->P10->P7->P14->P9->P16->P2->P20->P13->P3->P19->P11
8,Greedy-PADS,20,260.0,533.3333333333334,200.83333333333337,240.14178650549567,20.0,34.588231006637216,0.0,0.0,0.0,0.0,P18->P17->P8->P19->P11->P16->P9->P20->P13->P3->P4->P6->P15->P5->P10->P12->P7->P14->P1->P2
8,Priority-Greedy,20,302.0,603.3333333333333,78.33333333333334,224.04205355476557,40.0,34.78676703525707,0.0,0.0,0.0,0.0,P19->P11->P4->P18->P10->P12->P7->P17->P8->P6->P13->P16->P9->P20->P3->P5->P15->P2->P14->P1
8,RH-PADS,20,254.0,523.3333333333334,67.5,203.3385134334324,40.0,697.2695359727368,0.0,0.0,0.0,0.0,P6->P4->P8->P18->P19->P11->P16->P20->P12->P10->P7->P17->P3->P13->P2->P9->P14->P1->P5->P15
8,RH-PADS-L,20,258.0,530.0,39.16666666666667,188.18091598264536,40.0,334.3882730114274,0.0,0.0,0.0,0.0,P6->P4->P19->P18->P17->P10->P12->P7->P9->P16->P20->P13->P11->P15->P5->P8->P3->P2->P14->P1
8,A-RH-PADS,20,244.0,506.66666666666674,89.16666666666667,203.6098609350362,40.0,74.92204796290025,0.5496751964455174,0.4790518446447772,0.6137390785332484,0.04351247789839038,P8->P18->P6->P4->P19->P11->P16->P20->P12->P10->P7->P1->P17->P3->P13->P5->P15->P2->P9->P14
8,A-RH-PADS-L,20,224.0,473.3333333333333,116.66666666666667,187.05202899954634,20.0,61.3543470390141,0.5848330797104234,0.547305546678913,0.6123037971157661,0.023311030433513333,P6->P4->P18->P10->P12->P7->P17->P3->P13->P19->P5->P15->P11->P16->P2->P20->P9->P14->P1->P8
9,AStarOnly,20,153.0,355.00000000000006,185.55555555555554,165.88956889160423,20.0,30.980715004261583,0.0,0.0,0.0,0.0,P4->P15->P10->P9->P5->P6->P8->P20->P3->P11->P14->P19->P1->P12->P2->P13->P7->P18->P16->P17
9,TSP-2opt,20,156.0,360.00000000000006,195.83333333333337,159.30246229916136,20.0,35.956848005298525,0.0,0.0,0.0,0.0,P4->P10->P9->P15->P13->P2->P12->P1->P19->P14->P11->P3->P20->P8->P6->P5->P17->P16->P18->P7
9,Greedy-PADS,20,219.0,465.0000000000001,268.0555555555556,215.57455164244496,20.0,31.936172978021204,0.0,0.0,0.0,0.0,P15->P9->P5->P10->P4->P13->P2->P12->P1->P14->P17->P20->P3->P11->P7->P19->P16->P18->P8->P6
9,Priority-Greedy,20,276.0,559.9999999999999,174.72222222222226,249.26333802206508,60.0,31.127615016885102,0.0,0.0,0.0,0.0,P15->P4->P17->P20->P1->P12->P7->P13->P6->P5->P9->P10->P14->P19->P2->P11->P3->P18->P16->P8
9,RH-PADS,20,209.0,448.33333333333337,179.7222222222222,180.15564138689285,40.0,644.3059369921684,0.0,0.0,0.0,0.0,P4->P15->P1->P12->P13->P2->P19->P14->P20->P3->P17->P6->P8->P5->P9->P10->P11->P7->P18->P16
9,RH-PADS-L,20,214.0,456.6666666666667,175.2777777777778,182.72073873919723,40.0,300.48789002466947,0.0,0.0,0.0,0.0,P4->P15->P1->P12->P13->P2->P14->P20->P3->P17->P16->P6->P5->P9->P10->P11->P19->P7->P18->P8
9,A-RH-PADS,20,162.0,370.00000000000006,200.2777777777778,165.66673424425028,20.0,65.06927002919838,0.6072756526977712,0.5584037677549034,0.6359011909872527,0.02372115681344148,P4->P15->P1->P14->P19->P12->P2->P13->P10->P9->P5->P6->P8->P20->P3->P17->P16->P18->P11->P7
