seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,task_sequence
14,RH-Proposed-v2,20,247.0,511.6666666666667,144.44444444444446,196.91395601414234,60.0,P11->P14->P12->P19->P17->P15->P4->P6->P13->P16->P10->P9->P18->P7->P3->P2->P20->P5->P1->P8
15,NNF,20,183.0,405.0,200.41666666666666,162.51697887093232,0.0,P16->P7->P11->P2->P6->P20->P4->P12->P19->P17->P8->P3->P15->P5->P13->P10->P18->P9->P1->P14
15,AStarOnly,20,183.0,405.0,200.41666666666666,162.51697887093232,0.0,P16->P7->P11->P2->P6->P20->P4->P12->P19->P17->P8->P3->P15->P5->P13->P10->P18->P9->P1->P14
15,Proposed-Balanced,20,244.0,506.6666666666667,155.41666666666666,209.3688646398424,60.0,P20->P6->P4->P13->P10->P7->P2->P11->P19->P8->P3->P17->P12->P18->P16->P14->P1->P15->P5->P9
15,RH-Proposed-v1,20,302.0,603.3333333333331,114.58333333333334,232.85951671351592,40.0,P20->P4->P6->P7->P12->P13->P3->P17->P14->P19->P8->P15->P1->P11->P2->P10->P18->P16->P5->P9
15,RH-Proposed-v2,20,242.0,503.33333333333337,119.58333333333334,194.6446108572672,60.0,P6->P20->P4->P13->P19->P17->P8->P3->P7->P11->P2->P16->P14->P1->P15->P5->P10->P18->P12->P9
16,NNF,20,179.0,398.33333333333337,110.00000000000001,194.84411971745936,20.0,P6->P13->P10->P11->P4->P19->P14->P12->P5->P2->P1->P18->P7->P16->P15->P17->P8->P9->P20->P3
16,AStarOnly,20,195.0,425.0,425.0,224.45524062374187,0.0,P6->P13->P10->P11->P19->P14->P12->P5->P2->P1->P18->P7->P16->P15->P17->P8->P20->P3->P9->P4
16,Proposed-Balanced,20,234.0,490.0,113.33333333333334,258.77069227807675,20.0,P16->P18->P12->P19->P4->P1->P14->P2->P11->P10->P13->P6->P15->P17->P8->P7->P9->P20->P3->P5
16,RH-Proposed-v1,20,265.0,541.6666666666667,141.66666666666666,268.51216797594356,0.0,P19->P14->P12->P1->P2->P4->P10->P11->P3->P20->P9->P18->P16->P17->P8->P15->P6->P13->P5->P7
16,RH-Proposed-v2,20,201.0,435.00000000000006,125.00000000000001,208.43509484384603,0.0,P16->P15->P18->P12->P19->P4->P11->P9->P20->P3->P14->P5->P2->P1->P7->P8->P17->P6->P13->P10
17,NNF,20,147.0,345.0,275.0,196.6181971246221,0.0,P9->P10->P5->P8->P4->P11->P6->P3->P14->P19->P1->P15->P17->P13->P7->P18->P12->P2->P16->P20
17,AStarOnly,20,161.0,368.3333333333333,368.3333333333333,212.6255228710557,0.0,P9->P10->P6->P3->P14->P19->P1->P15->P17->P13->P7->P4->P8->P11->P5->P2->P16->P20->P12->P18
17,Proposed-Balanced,20,203.0,438.3333333333334,236.66666666666669,214.08922582807395,0.0,P10->P9->P5->P11->P12->P2->P20->P16->P18->P1->P14->P3->P6->P17->P7->P13->P4->P8->P19->P15
17,RH-Proposed-v1,20,189.0,414.99999999999994,218.33333333333334,203.18754213858944,0.0,P10->P9->P20->P2->P16->P12->P3->P6->P19->P14->P1->P18->P13->P7->P17->P4->P8->P5->P11->P15
17,RH-Proposed-v2,20,206.0,443.3333333333334,266.6666666666667,197.93389957668813,0.0,P10->P12->P2->P16->P20->P5->P11->P8->P4->P17->P18->P1->P14->P3->P9->P6->P19->P15->P13->P7
18,NNF,20,184.0,406.6666666666667,272.77777777777777,182.45565255860382,0.0,P18->P9->P12->P6->P8->P14->P11->P10->P16->P5->P19->P15->P3->P1->P13->P17->P4->P20->P7->P2
18,AStarOnly,20,184.0,406.66666666666663,267.77777777777777,182.4900441149442,0.0,P9->P18->P12->P6->P8->P14->P11->P10->P16->P5->P19->P15->P3->P1->P13->P4->P17->P20->P7->P2
18,Proposed-Balanced,20,230.0,483.3333333333334,254.44444444444449,228.5966375267724,20.0,P18->P9->P7->P5->P19->P15->P3->P1->P16->P10->P14->P11->P6->P12->P8->P20->P2->P13->P17->P4
18,RH-Proposed-v1,20,232.0,486.6666666666667,298.3333333333333,231.26985275464128,0.0,P9->P18->P12->P3->P1->P16->P10->P5->P19->P15->P14->P11->P7->P2->P8->P6->P20->P13->P17->P4
18,RH-Proposed-v2,20,221.0,468.3333333333333,188.33333333333334,209.52865733801352,40.0,P18->P7->P16->P5->P19->P15->P3->P1->P14->P6->P12->P9->P20->P2->P10->P11->P8->P4->P17->P13
19,NNF,20,164.0,373.33333333333337,190.66666666666669,180.2412280364729,0.0,P15->P17->P14->P2->P3->P5->P16->P11->P13->P18->P4->P1->P10->P20->P12->P8->P9->P19->P6->P7
19,AStarOnly,20,155.0,358.33333333333337,286.6666666666667,206.36070486299735,0.0,P15->P17->P14->P3->P5->P2->P6->P7->P19->P9->P8->P12->P20->P10->P16->P11->P13->P18->P4->P1
19,Proposed-Balanced,20,231.0,485.0,81.0,198.94980146419985,80.0,P4->P16->P18->P10->P20->P8->P12->P11->P2->P3->P17->P15->P14->P5->P6->P7->P19->P9->P13->P1
19,RH-Proposed-v1,20,221.0,468.33333333333337,233.0,237.802383755817,20.0,P3->P17->P15->P2->P20->P8->P9->P12->P10->P16->P4->P5->P14->P6->P7->P19->P13->P11->P18->P1
19,RH-Proposed-v2,20,229.0,481.6666666666667,114.0,191.38668072664277,60.0,P4->P18->P16->P11->P10->P20->P2->P14->P15->P3->P5->P17->P6->P13->P12->P8->P9->P19->P7->P1
20,NNF,20,149.0,348.3333333333333,125.33333333333334,169.7087337517026,40.0,P17->P19->P15->P4->P16->P10->P7->P9->P14->P6->P1->P20->P2->P11->P3->P5->P13->P8->P12->P18
20,AStarOnly,20,157.0,361.6666666666667,138.33333333333331,180.43325678734055,40.0,P19->P17->P15->P4->P16->P10->P7->P9->P6->P14->P1->P20->P2->P11->P3->P5->P13->P8->P12->P18
20,Proposed-Balanced,20,215.0,458.3333333333333,152.66666666666669,196.34976697823083,60.0,P19->P17->P15->P7->P9->P4->P20->P2->P1->P14->P6->P10->P18->P13->P8->P12->P11->P5->P3->P16
20,RH-Proposed-v1,20,240.0,500.00000000000006,146.33333333333331,217.94948200442028,80.0,P19->P17->P15->P20->P11->P5->P3->P13->P1->P2->P6->P7->P4->P9->P18->P12->P8->P16->P10->P14
20,RH-Proposed-v2,20,181.0,401.6666666666667,99.33333333333334,158.90516921699233,60.0,P17->P19->P15->P9->P7->P1->P20->P2->P11->P5->P3->P13->P18->P4->P16->P14->P6->P10->P12->P8
21,NNF,20,142.0,336.66666666666674,181.94444444444446,174.30578279807685,40.0,P16->P12->P18->P10->P8->P15->P2->P1->P9->P19->P11->P7->P20->P4->P6->P17->P13->P3->P5->P14
21,AStarOnly,20,168.0,380.0,176.94444444444443,174.53489669854523,20.0,P16->P12->P18->P15->P10->P8->P2->P1->P9->P19->P11->P7->P5->P3->P13->P17->P6->P20->P4->P14
21,Proposed-Balanced,20,267.0,545.0,185.2777777777778,219.01264845858162,20.0,P8->P15->P10->P2->P1->P12->P11->P7->P5->P13->P3->P14->P17->P20->P19->P4->P6->P16->P18->P9
21,RH-Proposed-v1,20,261.0,535.0000000000001,186.3888888888889,210.30178845544197,20.0,P8->P15->P10->P2->P1->P7->P5->P12->P18->P11->P19->P20->P13->P3->P14->P9->P4->P6->P17->P16
21,RH-Proposed-v2,20,222.0,470.00000000000006,151.38888888888889,176.65413710909587,40.0,P12->P8->P10->P15->P2->P7->P20->P4->P11->P1->P5->P3->P13->P14->P16->P18->P9->P19->P6->P17
22,NNF,20,172.0,386.6666666666667,263.3333333333333,219.9771123245881,0.0,P14->P20->P12->P11->P18->P4->P13->P16->P19->P15->P1->P5->P10->P17->P8->P3->P7->P6->P2->P9
22,AStarOnly,20,220.0,466.6666666666667,276.6666666666667,231.75753780772646,20.0,P14->P20->P12->P6->P2->P7->P3->P18->P11->P15->P19->P13->P16->P4->P8->P9->P17->P1->P5->P10
22,Proposed-Balanced,20,263.0,538.3333333333334,223.33333333333334,210.26483493021394,40.0,P14->P2->P6->P7->P13->P16->P18->P15->P1->P10->P5->P19->P17->P8->P3->P9->P11->P12->P20->P4
22,RH-Proposed-v1,20,247.0,511.66666666666674,180.83333333333334,196.25927200410268,40.0,P6->P2->P7->P13->P16->P15->P19->P1->P10->P5->P20->P14->P12->P11->P3->P9->P18->P4->P8->P17
22,RH-Proposed-v2,20,251.0,518.3333333333334,175.0,196.84543803671184,40.0,P2->P6->P7->P16->P13->P15->P10->P5->P1->P14->P12->P11->P18->P9->P3->P8->P4->P17->P19->P20
23,NNF,20,155.0,358.3333333333333,208.12499999999997,203.04047653405067,20.0,P7->P15->P2->P3->P17->P19->P11->P6->P18->P12->P13->P9->P5->P10->P14->P1->P8->P4->P20->P16
23,AStarOnly,20,151.0,351.6666666666667,212.5,206.33745764216368,20.0,P7->P15->P2->P3->P17->P11->P6->P18->P12->P13->P9->P5->P10->P4->P20->P16->P14->P1->P19->P8
23,Proposed-Balanced,20,311.0,618.3333333333333,231.66666666666666,239.70877775968728,60.0,P13->P1->P12->P5->P19->P6->P11->P18->P14->P9->P4->P10->P20->P8->P17->P15->P2->P7->P3->P16
23,RH-Proposed-v1,20,287.0,578.3333333333335,262.70833333333337,254.44219800904315,40.0,P13->P14->P1->P12->P9->P19->P5->P4->P10->P18->P6->P11->P15->P2->P7->P3->P8->P17->P20->P16
23,RH-Proposed-v2,20,229.0,481.66666666666674,136.25000000000003,180.21580004119315,80.0,P15->P19->P1->P13->P12->P4->P20->P10->P5->P9->P8->P14->P18->P6->P11->P17->P3->P2->P7->P16
24,NNF,20,145.0,341.66666666666663,157.57575757575756,145.61797917376578,60.0,P12->P6->P14->P16->P10->P9->P3->P11->P17->P15->P20->P2->P8->P19->P7->P4->P13->P1->P18->P5
24,AStarOnly,20,154.0,356.66666666666674,164.54545454545453,150.66922791004328,60.0,P6->P12->P14->P16->P10->P9->P3->P11->P17->P15->P20->P2->P4->P7->P19->P5->P18->P8->P13->P1
24,Proposed-Balanced,20,213.0,455.00000000000006,178.18181818181816,175.2937517948672,60.0,P6->P12->P14->P16->P2->P17->P11->P19->P10->P9->P15->P4->P8->P18->P5->P1->P13->P7->P3->P20
24,RH-Proposed-v1,20,218.0,463.3333333333333,256.6666666666667,238.9892206372549,40.0,P2->P17->P11->P3->P10->P14->P16->P6->P12->P1->P13->P19->P9->P15->P20->P8->P4->P7->P5->P18
24,RH-Proposed-v2,20,227.0,478.3333333333334,134.84848484848484,175.05307267436564,100.0,P6->P14->P10->P2->P8->P19->P11->P9->P17->P15->P4->P18->P5->P1->P13->P16->P12->P20->P3->P7
25,NNF,20,182.0,403.33333333333326,172.29166666666666,178.12197683032986,40.0,P18->P2->P14->P4->P6->P9->P5->P11->P15->P19->P10->P13->P12->P7->P8->P20->P17->P1->P16->P3
25,AStarOnly,20,184.0,406.6666666666666,148.74999999999997,166.02857600162218,60.0,P2->P18->P15->P11->P19->P5->P9->P14->P4->P6->P1->P16->P3->P20->P17->P12->P10->P13->P7->P8
25,Proposed-Balanced,20,263.0,538.3333333333333,175.41666666666666,187.48871086722426,60.0,P2->P18->P16->P1->P4->P15->P19->P11->P5->P9->P12->P7->P8->P10->P6->P3->P14->P20->P17->P13
25,RH-Proposed-v1,20,287.0,578.3333333333333,181.45833333333334,215.1548397097987,80.0,P2->P18->P16->P15->P11->P5->P19->P12->P7->P8->P4->P1->P14->P3->P9->P20->P17->P6->P10->P13
25,RH-Proposed-v2,20,221.0,468.3333333333333,137.91666666666666,180.59130400277544,80.0,P18->P15->P11->P4->P1->P16->P3->P2->P19->P12->P5->P9->P14->P6->P20->P17->P7->P8->P10->P13
26,NNF,20,133.0,321.6666666666667,121.11111111111113,137.42811328387515,20.0,P1->P15->P7->P19->P12->P4->P2->P10->P16->P11->P20->P13->P8->P17->P5->P9->P18->P6->P3->P14
26,AStarOnly,20,147.0,345.0,126.66666666666667,137.1042983330332,20.0,P1->P15->P7->P19->P12->P4->P9->P8->P17->P5->P13->P2->P10->P16->P11->P20->P18->P6->P3->P14
26,Proposed-Balanced,20,185.0,408.33333333333337,106.66666666666667,145.07768205550295,20.0,P1->P15->P19->P12->P4->P9->P2->P20->P17->P8->P5->P13->P10->P11->P16->P7->P14->P6->P18->P3
26,RH-Proposed-v1,20,219.0,465.0,199.44444444444446,212.5528440027594,20.0,P4->P12->P9->P17->P8->P20->P16->P2->P10->P11->P13->P5->P19->P15->P1->P7->P14->P6->P18->P3
26,RH-Proposed-v2,20,187.0,411.6666666666666,86.11111111111113,154.709268263743,40.0,P1->P15->P4->P2->P20->P5->P17->P8->P13->P9->P12->P19->P10->P16->P11->P18->P6->P3->P14->P7
27,NNF,20,165.0,374.99999999999994,231.6666666666666,207.47033467396864,20.0,P16->P7->P2->P6->P3->P13->P1->P14->P15->P19->P8->P17->P11->P20->P18->P12->P10->P5->P9->P4
27,AStarOnly,20,163.0,371.6666666666667,241.66666666666669,220.54240105862525,0.0,P7->P16->P13->P3->P1->P6->P2->P10->P18->P12->P11->P20->P17->P8->P19->P14->P15->P5->P9->P4
27,Proposed-Balanced,20,209.0,448.3333333333334,229.0,231.26025570060958,20.0,P2->P3->P1->P13->P16->P7->P6->P10->P18->P12->P11->P17->P8->P19->P14->P15->P9->P5->P4->P20
27,RH-Proposed-v1,20,221.0,468.33333333333337,241.0,226.9692693657091,20.0,P7->P16->P2->P3->P13->P1->P14->P19->P17->P8->P9->P18->P11->P12->P10->P6->P15->P5->P4->P20
27,RH-Proposed-v2,20,247.0,511.66666666666674,94.33333333333334,185.2219261375911,80.0,P2->P10->P18->P19->P15->P14->P5->P9->P4->P8->P12->P11->P20->P6->P3->P1->P13->P16->P7->P17
28,NNF,20,185.0,408.33333333333337,137.77777777777777,152.31450766400835,40.0,P13->P6->P11->P18->P14->P5->P8->P10->P3->P1->P9->P20->P2->P16->P15->P4->P7->P19->P12->P17
28,AStarOnly,20,189.0,415.0,139.25925925925924,154.20353997824085,40.0,P13->P6->P11->P18->P14->P5->P8->P10->P3->P1->P2->P20->P9->P16->P15->P4->P7->P19->P12->P17
28,Proposed-Balanced,20,241.0,501.66666666666663,148.51851851851853,183.18860795028732,40.0,P13->P18->P6->P11->P14->P3->P2->P9->P20->P16->P8->P10->P5->P1->P4->P15->P7->P19->P12->P17
28,RH-Proposed-v1,20,221.0,468.3333333333334,137.96296296296296,171.36988235660428,60.0,P13->P18->P11->P6->P8->P10->P3->P2->P9->P20->P16->P1->P4->P15->P5->P14->P19->P12->P7->P17
28,RH-Proposed-v2,20,213.0,455.00000000000006,100.92592592592592,159.43944534499482,80.0,P13->P18->P5->P8->P10->P3->P2->P16->P20->P9->P1->P4->P7->P19->P12->P14->P6->P11->P17->P15
29,NNF,20,137.0,328.3333333333333,165.55555555555557,173.2798230523604,0.0,P13->P2->P11->P19->P6->P7->P3->P18->P4->P17->P12->P14->P16->P5->P10->P15->P9->P20->P8->P1
29,AStarOnly,20,158.0,363.3333333333333,205.55555555555554,186.117491782272,0.0,P13->P5->P16->P14->P12->P17->P4->P3->P18->P19->P6->P7->P11->P2->P9->P20->P8->P1->P10->P15
29,Proposed-Balanced,20,202.0,436.66666666666663,119.44444444444446,206.07382740396937,40.0,P13->P10->P12->P17->P20->P1->P8->P7->P19->P11->P2->P6->P3->P18->P4->P9->P14->P5->P16->P15
29,RH-Proposed-v1,20,229.0,481.6666666666667,118.8888888888889,222.19153065149058,40.0,P13->P5->P12->P17->P10->P7->P6->P19->P11->P8->P1->P20->P4->P3->P18->P9->P14->P16->P15->P2
29,RH-Proposed-v2,20,246.0,510.0,117.22222222222224,201.18177731778394,40.0,P13->P10->P12->P17->P20->P8->P9->P7->P19->P11->P2->P5->P3->P18->P4->P1->P15->P14->P16->P6
