seed,weight_group,alpha,beta,lambda_abnormal,gamma,delta,eta,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,task_sequence
0,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,296.0,593.3333333333333,107.22222222222223,P3->P4->P9->P17->P7->P14->P6->P15->P19->P1->P20->P13->P2->P10->P12->P11->P8->P5->P18->P16
0,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,221.0,468.3333333333333,228.33333333333334,P3->P12->P15->P19->P16->P20->P17->P9->P4->P7->P14->P8->P11->P5->P6->P18->P1->P10->P2->P13
0,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,324.0,639.9999999999999,158.33333333333334,P4->P9->P17->P7->P20->P13->P15->P19->P1->P3->P6->P5->P14->P12->P11->P8->P18->P10->P2->P16
0,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,266.0,543.3333333333333,92.77777777777779,P3->P6->P9->P17->P4->P7->P14->P5->P11->P8->P18->P15->P19->P16->P1->P10->P20->P13->P2->P12
0,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,302.0,603.3333333333333,102.22222222222223,P4->P9->P17->P7->P14->P6->P15->P19->P1->P20->P13->P2->P5->P11->P8->P3->P12->P18->P10->P16
1,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,294.0,590.0,151.25,P1->P6->P17->P4->P7->P11->P14->P9->P12->P10->P5->P13->P16->P2->P15->P8->P18->P19->P20->P3
1,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,242.0,503.33333333333337,118.75000000000003,P1->P13->P2->P16->P6->P20->P17->P4->P10->P12->P7->P11->P14->P9->P8->P18->P19->P5->P15->P3
1,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,323.0,638.3333333333333,142.08333333333331,P1->P17->P4->P7->P11->P14->P16->P6->P20->P13->P2->P5->P12->P19->P18->P9->P8->P15->P3->P10
1,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,250.0,516.6666666666667,172.5,P1->P6->P20->P17->P4->P7->P11->P14->P9->P8->P18->P19->P12->P10->P5->P2->P13->P16->P15->P3
1,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,317.0,628.3333333333334,132.5,P1->P6->P17->P4->P7->P11->P14->P16->P13->P2->P5->P12->P20->P3->P15->P19->P18->P9->P8->P10
2,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,284.0,573.3333333333335,196.16666666666669,P5->P20->P7->P3->P1->P15->P11->P2->P10->P14->P4->P17->P6->P18->P9->P13->P19->P8->P12->P16
2,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,209.0,448.33333333333326,196.49999999999997,P5->P7->P3->P1->P2->P10->P14->P18->P4->P17->P6->P15->P8->P12->P11->P20->P13->P16->P9->P19
2,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,282.0,570.0,175.0,P5->P20->P7->P3->P11->P15->P14->P4->P17->P6->P18->P10->P2->P1->P8->P19->P13->P9->P16->P12
2,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,250.0,516.6666666666667,194.83333333333337,P5->P7->P3->P1->P15->P14->P10->P2->P11->P20->P4->P17->P6->P18->P9->P13->P16->P19->P8->P12
2,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,306.0,610.0000000000001,209.33333333333334,P5->P20->P7->P3->P15->P11->P1->P14->P4->P17->P6->P18->P10->P2->P8->P19->P13->P9->P16->P12
3,Default,0.25,0.2,0.2,0.2,0.1,0.05,19,217.0,456.66666666666663,143.88888888888889,P9->P16->P14->P8->P1->P15->P2->P12->P19->P18->P5->P20->P3->P7->P6->P10->P17->P13->P4
3,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,19,144.0,335.0,169.72222222222223,P10->P6->P7->P1->P9->P8->P16->P14->P3->P15->P2->P5->P20->P18->P19->P12->P4->P17->P13
3,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,19,237.0,490.0,133.88888888888889,P9->P1->P15->P16->P14->P8->P12->P2->P7->P6->P10->P17->P13->P18->P19->P3->P5->P20->P4
3,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,19,194.0,418.3333333333333,150.0,P10->P9->P16->P14->P8->P1->P15->P2->P12->P19->P18->P5->P20->P3->P7->P6->P4->P17->P13
3,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,19,229.0,476.66666666666663,134.44444444444443,P9->P16->P14->P1->P15->P12->P8->P3->P2->P7->P6->P10->P17->P13->P18->P19->P5->P20->P4
4,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,273.0,555.0,261.6666666666667,P20->P11->P9->P17->P1->P12->P7->P5->P3->P6->P16->P8->P14->P19->P18->P15->P13->P10->P2->P4
4,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,253.0,521.6666666666667,261.6666666666667,P20->P11->P9->P17->P1->P12->P7->P5->P3->P6->P16->P8->P14->P19->P18->P15->P13->P2->P10->P4
4,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,283.0,571.6666666666667,158.33333333333334,P20->P11->P9->P17->P3->P5->P6->P12->P7->P1->P10->P15->P18->P19->P16->P8->P14->P4->P13->P2
4,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,253.0,521.6666666666667,261.6666666666667,P20->P11->P9->P17->P1->P12->P7->P5->P3->P6->P16->P8->P14->P19->P18->P15->P13->P2->P10->P4
4,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,321.0,635.0,236.66666666666669,P20->P11->P9->P17->P1->P12->P5->P3->P6->P16->P8->P19->P18->P15->P10->P7->P14->P4->P13->P2
5,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,295.0,591.6666666666666,150.55555555555557,P14->P6->P10->P9->P5->P19->P18->P1->P8->P7->P4->P17->P11->P16->P15->P2->P12->P3->P20->P13
5,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,281.0,568.3333333333333,185.00000000000003,P14->P2->P15->P12->P6->P10->P9->P5->P19->P18->P1->P8->P4->P7->P17->P11->P16->P13->P20->P3
5,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,317.0,628.3333333333334,120.0,P14->P6->P9->P19->P7->P4->P1->P8->P5->P10->P18->P16->P12->P15->P2->P17->P11->P13->P20->P3
5,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,295.0,591.6666666666666,150.55555555555557,P14->P6->P10->P9->P5->P19->P18->P1->P8->P7->P4->P17->P11->P16->P15->P2->P12->P3->P20->P13
5,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,327.0,645.0000000000002,176.11111111111117,P14->P6->P10->P19->P9->P5->P7->P4->P18->P1->P8->P17->P16->P12->P15->P2->P3->P13->P11->P20
6,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,234.0,490.0000000000001,159.33333333333334,P10->P17->P5->P2->P20->P13->P18->P12->P16->P14->P4->P9->P7->P8->P3->P6->P11->P15->P19->P1
6,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,218.0,463.3333333333333,209.0,P10->P17->P5->P2->P20->P13->P18->P7->P8->P3->P6->P11->P15->P19->P4->P12->P16->P14->P9->P1
6,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,313.0,621.6666666666667,140.00000000000003,P10->P5->P20->P18->P12->P16->P13->P17->P2->P3->P8->P11->P15->P19->P4->P9->P7->P1->P6->P14
6,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,224.0,473.3333333333334,159.66666666666669,P10->P17->P5->P2->P20->P13->P18->P12->P4->P16->P14->P9->P7->P8->P3->P6->P11->P15->P19->P1
6,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,307.0,611.6666666666666,145.0,P10->P5->P20->P18->P12->P16->P13->P17->P2->P11->P3->P8->P6->P15->P19->P4->P9->P7->P1->P14
7,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,280.0,566.6666666666667,121.25000000000003,P12->P20->P11->P16->P13->P15->P4->P5->P1->P10->P18->P3->P8->P6->P17->P14->P2->P7->P19->P9
7,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,238.0,496.66666666666674,242.08333333333331,P12->P5->P1->P10->P15->P13->P7->P4->P16->P14->P2->P11->P19->P20->P6->P18->P3->P8->P17->P9
7,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,303.0,605.0000000000001,121.6666666666667,P12->P20->P11->P13->P15->P4->P16->P14->P6->P18->P3->P1->P5->P8->P10->P7->P2->P9->P19->P17
7,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,274.0,556.6666666666666,197.0833333333333,P12->P20->P6->P18->P15->P13->P7->P4->P16->P11->P14->P2->P10->P1->P5->P8->P3->P17->P19->P9
7,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,326.0,643.3333333333335,135.83333333333334,P12->P20->P11->P16->P13->P15->P4->P14->P6->P1->P5->P18->P3->P8->P10->P2->P7->P17->P9->P19
8,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,272.0,553.3333333333334,200.83333333333337,P18->P17->P8->P19->P11->P16->P9->P20->P13->P3->P4->P6->P10->P12->P7->P14->P1->P2->P5->P15
8,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,226.0,476.66666666666674,160.0,P6->P8->P18->P17->P3->P19->P11->P15->P5->P4->P10->P12->P7->P1->P20->P13->P16->P9->P2->P14
8,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,328.0,646.6666666666665,140.0,P19->P11->P18->P10->P12->P8->P4->P6->P17->P13->P16->P9->P20->P3->P7->P14->P1->P5->P15->P2
8,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,260.0,533.3333333333334,200.83333333333337,P18->P17->P8->P19->P11->P16->P9->P20->P13->P3->P4->P6->P15->P5->P10->P12->P7->P14->P1->P2
8,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,342.0,669.9999999999999,211.66666666666669,P11->P19->P18->P10->P8->P17->P12->P7->P6->P4->P16->P9->P20->P13->P3->P5->P15->P1->P14->P2
9,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,240.0,500.00000000000006,266.11111111111114,P15->P9->P5->P4->P13->P2->P1->P12->P14->P17->P20->P3->P11->P7->P19->P16->P18->P8->P6->P10
9,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,228.0,480.0000000000001,283.3333333333334,P15->P9->P5->P10->P4->P13->P2->P12->P1->P14->P17->P20->P3->P11->P16->P18->P8->P6->P19->P7
9,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,282.0,570.0000000000001,225.2777777777778,P15->P9->P5->P17->P20->P1->P12->P2->P13->P4->P6->P7->P14->P19->P3->P11->P16->P18->P8->P10
9,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,219.0,465.0000000000001,268.0555555555556,P15->P9->P5->P10->P4->P13->P2->P12->P1->P14->P17->P20->P3->P11->P7->P19->P16->P18->P8->P6
9,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,292.0,586.6666666666667,245.83333333333337,P15->P9->P5->P17->P20->P1->P12->P14->P13->P4->P6->P10->P2->P7->P19->P3->P16->P18->P11->P8
10,Default,0.25,0.2,0.2,0.2,0.1,0.05,19,204.0,434.99999999999994,106.33333333333334,P10->P8->P11->P7->P2->P16->P19->P20->P4->P14->P1->P15->P17->P9->P13->P3->P18->P12->P5
10,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,19,180.0,395.0,167.33333333333334,P10->P9->P17->P13->P8->P11->P7->P2->P14->P16->P4->P19->P20->P15->P1->P12->P3->P18->P5
10,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,19,268.0,541.6666666666667,98.0,P8->P11->P7->P2->P16->P19->P20->P4->P13->P10->P5->P17->P9->P3->P14->P1->P15->P18->P12
10,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,19,202.0,431.66666666666663,108.00000000000003,P10->P8->P11->P7->P2->P4->P16->P19->P20->P15->P14->P1->P12->P3->P18->P13->P9->P17->P5
10,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,19,245.0,503.33333333333337,110.33333333333333,P11->P7->P2->P8->P4->P16->P19->P20->P14->P13->P17->P9->P10->P5->P3->P12->P18->P1->P15
11,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,249.0,514.9999999999999,90.66666666666666,P3->P13->P2->P20->P17->P6->P9->P10->P4->P7->P15->P19->P8->P18->P5->P12->P11->P16->P1->P14
11,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,239.0,498.3333333333333,102.0,P3->P13->P5->P2->P20->P17->P19->P9->P6->P7->P15->P10->P4->P1->P8->P18->P11->P16->P12->P14
11,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,283.0,571.6666666666666,86.33333333333333,P3->P13->P2->P20->P6->P9->P10->P4->P7->P19->P17->P18->P8->P15->P16->P1->P14->P5->P12->P11
11,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,229.0,481.6666666666666,92.33333333333333,P3->P13->P2->P20->P17->P19->P9->P6->P7->P4->P10->P15->P8->P18->P5->P12->P11->P16->P1->P14
11,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,283.0,571.6666666666666,86.33333333333333,P3->P13->P2->P20->P6->P9->P10->P4->P7->P19->P17->P18->P8->P15->P16->P1->P14->P5->P12->P11
12,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,274.0,556.6666666666667,246.85185185185185,P19->P18->P20->P5->P16->P7->P3->P2->P4->P9->P13->P6->P10->P12->P17->P15->P1->P8->P14->P11
12,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,224.0,473.33333333333337,207.96296296296296,P19->P7->P3->P16->P2->P20->P5->P4->P9->P18->P12->P17->P6->P10->P15->P8->P1->P14->P11->P13
12,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,292.0,586.6666666666667,197.7777777777778,P19->P18->P16->P7->P3->P6->P20->P5->P4->P13->P9->P2->P14->P12->P17->P15->P10->P8->P1->P11
12,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,230.0,483.33333333333337,175.00000000000003,P19->P7->P3->P16->P18->P12->P17->P20->P5->P4->P9->P2->P14->P6->P10->P15->P8->P1->P11->P13
12,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,306.0,610.0,206.11111111111111,P19->P18->P16->P7->P3->P6->P20->P5->P4->P9->P13->P2->P14->P12->P17->P15->P10->P8->P1->P11
13,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,259.0,531.6666666666667,214.66666666666666,P8->P13->P10->P3->P7->P6->P14->P18->P9->P11->P12->P4->P2->P5->P17->P19->P1->P15->P16->P20
13,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,216.0,460.0,228.33333333333334,P8->P13->P10->P20->P18->P6->P7->P14->P3->P19->P4->P12->P5->P2->P9->P11->P16->P15->P1->P17
13,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,300.0,600.0000000000001,160.33333333333331,P7->P4->P3->P9->P11->P12->P5->P2->P10->P13->P8->P20->P18->P14->P6->P15->P16->P1->P19->P17
13,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,213.0,455.0,170.66666666666669,P8->P13->P10->P11->P9->P18->P6->P7->P3->P4->P12->P5->P2->P17->P19->P14->P1->P15->P16->P20
13,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,318.0,630.0000000000001,196.66666666666666,P7->P4->P12->P9->P3->P11->P5->P2->P18->P14->P6->P15->P10->P13->P8->P20->P16->P1->P19->P17
14,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,301.0,601.6666666666666,103.05555555555554,P11->P20->P15->P19->P17->P14->P10->P12->P9->P18->P16->P6->P4->P5->P7->P3->P2->P8->P13->P1
14,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,234.0,489.9999999999999,245.27777777777774,P11->P3->P7->P8->P9->P18->P10->P14->P19->P17->P15->P5->P4->P12->P6->P13->P16->P1->P20->P2
14,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,329.0,648.3333333333334,131.66666666666666,P11->P19->P14->P15->P12->P10->P16->P9->P17->P4->P20->P7->P3->P2->P5->P6->P13->P18->P8->P1
14,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,229.0,481.6666666666666,139.7222222222222,P11->P20->P15->P17->P19->P14->P10->P12->P9->P18->P8->P7->P3->P2->P4->P5->P6->P13->P1->P16
